contestSlug,contestTitle,date,problemCount,titleSlug,questionFrontendId,title,difficulty,acRate
weekly-contest-338,Weekly Contest 338,2023-03-26,4,collect-coins-in-a-tree,2603,Collect Coins in a Tree,Hard,39.6
weekly-contest-339,Weekly Contest 339,2023-04-02,4,find-the-longest-balanced-substring-of-a-binary-string,2609,Find the Longest Balanced Substring of a Binary String,Easy,46.8
weekly-contest-339,Weekly Contest 339,2023-04-02,4,convert-an-array-into-a-2d-array-with-conditions,2610,Convert an Array Into a 2D Array With Conditions,Medium,86.1
weekly-contest-339,Weekly Contest 339,2023-04-02,4,mice-and-cheese,2611,Mice and Cheese,Medium,49.0
weekly-contest-339,Weekly Contest 339,2023-04-02,4,minimum-reverse-operations,2612,Minimum Reverse Operations,Hard,17.3
weekly-contest-340,Weekly Contest 340,2023-04-09,4,prime-in-diagonal,2614,Prime In Diagonal,Easy,38.1
weekly-contest-340,Weekly Contest 340,2023-04-09,4,sum-of-distances,2615,Sum of Distances,Medium,50.3
weekly-contest-340,Weekly Contest 340,2023-04-09,4,minimize-the-maximum-difference-of-pairs,2616,Minimize the Maximum Difference of Pairs,Medium,51.0
weekly-contest-340,Weekly Contest 340,2023-04-09,4,minimum-number-of-visited-cells-in-a-grid,2617,Minimum Number of Visited Cells in a Grid,Hard,24.0
weekly-contest-341,Weekly Contest 341,2023-04-16,4,row-with-maximum-ones,2643,Row With Maximum Ones,Easy,74.2
weekly-contest-341,Weekly Contest 341,2023-04-16,4,find-the-maximum-divisibility-score,2644,Find the Maximum Divisibility Score,Easy,52.1
weekly-contest-341,Weekly Contest 341,2023-04-16,4,minimum-additions-to-make-valid-string,2645,Minimum Additions to Make Valid String,Medium,51.2
weekly-contest-341,Weekly Contest 341,2023-04-16,4,minimize-the-total-price-of-the-trips,2646,Minimize the Total Price of the Trips,Hard,48.1
weekly-contest-342,Weekly Contest 342,2023-04-23,4,calculate-delayed-arrival-time,2651,Calculate Delayed Arrival Time,Easy,75.4
weekly-contest-342,Weekly Contest 342,2023-04-23,4,sum-multiples,2652,Sum Multiples,Easy,86.2
weekly-contest-342,Weekly Contest 342,2023-04-23,4,sliding-subarray-beauty,2653,Sliding Subarray Beauty,Medium,37.6
weekly-contest-342,Weekly Contest 342,2023-04-23,4,minimum-number-of-operations-to-make-all-array-elements-equal-to-1,2654,Minimum Number of Operations to Make All Array Elements Equal to 1,Medium,54.7
weekly-contest-343,Weekly Contest 343,2023-04-30,4,determine-the-winner-of-a-bowling-game,2660,Determine the Winner of a Bowling Game,Easy,37.9
weekly-contest-343,Weekly Contest 343,2023-04-30,4,first-completely-painted-row-or-column,2661,First Completely Painted Row or Column,Medium,63.9
weekly-contest-343,Weekly Contest 343,2023-04-30,4,minimum-cost-of-a-path-with-special-roads,2662,Minimum Cost of a Path With Special Roads,Medium,43.7
weekly-contest-343,Weekly Contest 343,2023-04-30,4,lexicographically-smallest-beautiful-string,2663,Lexicographically Smallest Beautiful String,Hard,38.5
weekly-contest-344,Weekly Contest 344,2023-05-07,4,find-the-distinct-difference-array,2670,Find the Distinct Difference Array,Easy,76.8
